requested_model,brand,model,component_group,component_name,is_pcb_or_board,pcb_type,evidence_count,guide_count,highest_confidence,source_urls
Google Pixel 7,Google,Pixel 7,Audio,Earpiece speaker,False,,70,11,0.8,https://www.ifixit.com/Guide/Google+Pixel+7+Earpiece+Speaker+Replacement/154679 | https://www.ifixit.com/Guide/Google+Pixel+7+Motherboard+Replacement/154683 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Earpiece+Speaker+Replacement/154518 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Front+Camera+Replacement/154519 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Loudspeaker+Replacement/154522 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Motherboard+Replacement/154523 | https://www.ifixit.com/Guide/Google+Pixel+7a+5G+mmWave+Antenna+Replacement/161597 | https://www.ifixit.com/Guide/Google+Pixel+7a+Earpiece+Speaker+Replacement/161483 | https://www.ifixit.com/Guide/Google+Pixel+7a+Logic+Board+Replacement/161570 | https://www.ifixit.com/Guide/Google+Pixel+7a+Loudspeaker+Replacement/161580 | https://www.ifixit.com/Guide/Google+Pixel+7a+Screen+Replacement/161581
Google Pixel 7,Google,Pixel 7,Audio,Loudspeaker,False,,49,12,0.8,https://www.ifixit.com/Guide/Google+Pixel+7+5G+mmWave+Antenna+Cable+Replacement/154716 | https://www.ifixit.com/Guide/Google+Pixel+7+5G+mmWave+Antenna+Replacement/154715 | https://www.ifixit.com/Guide/Google+Pixel+7+Battery+Replacement/154680 | https://www.ifixit.com/Guide/Google+Pixel+7+Earpiece+Speaker+Replacement/154679 | https://www.ifixit.com/Guide/Google+Pixel+7+Front+Camera+Replacement/154677 | https://www.ifixit.com/Guide/Google+Pixel+7+Loudspeaker+Replacement/154682 | https://www.ifixit.com/Guide/Google+Pixel+7+Motherboard+Replacement/154683 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Loudspeaker+Replacement/154522 | https://www.ifixit.com/Guide/Google+Pixel+7+Rear+Cameras+Replacement/154678 | https://www.ifixit.com/Guide/Google+Pixel+7a+Loudspeaker+Replacement/161580 | https://www.ifixit.com/Guide/How+to+Replace+the+Screen+Adhesive+for+Your+Google+Pixel+7+Pro/156204 | https://www.ifixit.com/Guide/How+to+Replace+the+Screen+Adhesive+for+Your+Google+Pixel+7/156203
Google Pixel 7,Google,Pixel 7,Audio,Microphone,False,,9,6,0.75,https://www.ifixit.com/Guide/Google+Pixel+7+Motherboard+Replacement/154683 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Loudspeaker+Replacement/154522 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Motherboard+Replacement/154523 | https://www.ifixit.com/Guide/Google+Pixel+7a+5G+mmWave+Antenna+Replacement/161597 | https://www.ifixit.com/Guide/Google+Pixel+7a+Logic+Board+Replacement/161570 | https://www.ifixit.com/Guide/Google+Pixel+7a+Loudspeaker+Replacement/161580
Google Pixel 7,Google,Pixel 7,Camera,Camera module,False,,40,6,0.8,https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Earpiece+Speaker+Replacement/154518 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Front+Camera+Replacement/154519 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Loudspeaker+Replacement/154522 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Motherboard+Replacement/154523 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Rear+Camera+Assembly+Replacement/154520 | https://www.ifixit.com/Guide/Google+Pixel+7a+Logic+Board+Replacement/161570
Google Pixel 7,Google,Pixel 7,Camera,Front camera,False,,86,24,0.8,https://www.ifixit.com/Guide/Google+Pixel+7+5G+mmWave+Antenna+Cable+Replacement/154716 | https://www.ifixit.com/Guide/Google+Pixel+7+5G+mmWave+Antenna+Replacement/154715 | https://www.ifixit.com/Guide/Google+Pixel+7+Battery+Replacement/154680 | https://www.ifixit.com/Guide/Google+Pixel+7+Earpiece+Speaker+Replacement/154679 | https://www.ifixit.com/Guide/Google+Pixel+7+Front+Camera+Replacement/154677 | https://www.ifixit.com/Guide/Google+Pixel+7+Loudspeaker+Replacement/154682 | https://www.ifixit.com/Guide/Google+Pixel+7+Motherboard+Replacement/154683 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+5G+mmWave+Antenna+Cable+Replacement/154718 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+5G+mmWave+Antenna+Replacement/154719 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Battery+Replacement/154517 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Earpiece+Speaker+Replacement/154518 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Front+Camera+Replacement/154519 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Loudspeaker+Replacement/154522 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Motherboard+Replacement/154523 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Rear+Camera+Assembly+Replacement/154520 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Screen+Replacement/154720 | https://www.ifixit.com/Guide/Google+Pixel+7+Rear+Cameras+Replacement/154678 | https://www.ifixit.com/Guide/Google+Pixel+7+Screen+Replacement/154753 | https://www.ifixit.com/Guide/Google+Pixel+7a+5G+mmWave+Antenna+Replacement/161597 | https://www.ifixit.com/Guide/Google+Pixel+7a+Logic+Board+Replacement/161570 | https://www.ifixit.com/Guide/Google+Pixel+7a+Loudspeaker+Replacement/161580 | https://www.ifixit.com/Guide/Google+Pixel+7a+Screen+Replacement/161581 | https://www.ifixit.com/Guide/How+to+Replace+the+Screen+Adhesive+for+Your+Google+Pixel+7+Pro/156204 | https://www.ifixit.com/Guide/How+to+Replace+the+Screen+Adhesive+for+Your+Google+Pixel+7/156203
Google Pixel 7,Google,Pixel 7,Camera,Rear camera,False,,59,10,0.8,https://www.ifixit.com/Guide/Google+Pixel+7+Motherboard+Replacement/154683 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Earpiece+Speaker+Replacement/154518 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Front+Camera+Replacement/154519 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Loudspeaker+Replacement/154522 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Motherboard+Replacement/154523 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Rear+Camera+Assembly+Replacement/154520 | https://www.ifixit.com/Guide/Google+Pixel+7+Rear+Cameras+Replacement/154678 | https://www.ifixit.com/Guide/Google+Pixel+7a+5G+mmWave+Antenna+Replacement/161597 | https://www.ifixit.com/Guide/Google+Pixel+7a+Logic+Board+Replacement/161570 | https://www.ifixit.com/Guide/Google+Pixel+7a+Loudspeaker+Replacement/161580
Google Pixel 7,Google,Pixel 7,Connector,Charging port,False,,41,12,0.75,https://www.ifixit.com/Guide/Google+Pixel+7+Motherboard+Replacement/154683 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+5G+mmWave+Antenna+Cable+Replacement/154718 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+5G+mmWave+Antenna+Replacement/154719 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Battery+Replacement/154517 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Earpiece+Speaker+Replacement/154518 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Front+Camera+Replacement/154519 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Loudspeaker+Replacement/154522 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Motherboard+Replacement/154523 | https://www.ifixit.com/Guide/Google+Pixel+7+Pro+Rear+Camera+Assembly+Replacement/154520 | https://www.ifixit.com/Guide/Google+Pixel+7a+5G+mmWave+Antenna+Replacement/161597 | https://www.ifixit.com/Guide/Google+Pixel+7a+Logic+Board+Replacement/161570 | https://www.ifixit.com/Guide/Google+Pixel+7a+Loudspeaker+Replacement/161580
Google Pixel 7,Google,Pixel 7,Controls,Power / volume button assembly,False,,4,4,0.75,https://www.ifixit.com/Guide/Google+Pixel+7a+5G+mmWave+Antenna+Replacement/161597 | https://www.ifixit.com/Guide/Google+Pixel+7a+Battery+Replacement/161598 | https://www.ifixit.com/Guide/Google+Pixel+7a+Logic+Board+Replacement/161570 | https://www.ifixit.com/Guide/Google+Pixel+7a+Loudspeaker+Replacement/161580
Google Pixel 7,Google,Pixel 7,Haptics,Vibration motor / haptic engine,False,,3,3,0.75,https://www.ifixit.com/Guide/Google+Pixel+7a+5G+mmWave+Antenna+Replacement/161597 | https://www.ifixit.com/Guide/Google+Pixel+7a+Logic+Board+Replacement/161570 | https://www.ifixit.com/Guide/Google+Pixel+7a+Loudspeaker+Replacement/161580
Google Pixel 7,Google,Pixel 7,Housing,Back cover / rear glass,False,,265,10,0.8,https://www.ifixit.com/Guide/Google+Pixel+7a+5G+mmWave+Antenna+Replacement/161597 | https://www.ifixit.com/Guide/Google+Pixel+7a+Battery+Replacement/161598 | https://www.ifixit.com/Guide/Google+Pixel+7a+Earpiece+Speaker+Replacement/161483 | https://www.ifixit.com/Guide/Google+Pixel+7a+Logic+Board+Replacement/161570 | https://www.ifixit.com/Guide/Google+Pixel+7a+Loudspeaker+Replacement/161580 | https://www.ifixit.com/Guide/Google+Pixel+7a+Rear+Cover+Replacement/161457 | https://www.ifixit.com/Guide/Google+Pixel+7a+Wireless+Charging+Assembly+Replacement/161462 | https://www.ifixit.com/Guide/How+to+Apply+Rear+Cover+Adhesive+in+Your+Google+Pixel+7a/162229 | https://www.ifixit.com/Guide/How+to+Replace+the+Screen+Adhesive+for+Your+Google+Pixel+7+Pro/156204 | https://www.ifixit.com/Guide/How+to+Replace+the+Screen+Adhesive+for+Your+Google+Pixel+7/156203
